model,stage,accuracy,precision,recall,threshold,params_json,meets_accuracy_floor,accuracy_floor,model_path
logistic_regression,optimized_search,0.792875,0.6177437020810514,0.8963051251489869,0.39,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.7955,0.6217187068250898,0.8939213349225268,0.4,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.798125,0.6258370535714286,0.8911402463249901,0.41,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.8005,0.6303424851401076,0.8847834723877632,0.42,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.804,0.6361549497847919,0.8808104886769964,0.43,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.807125,0.6413232733604178,0.8780294000794596,0.44,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.810875,0.6476470588235295,0.8748510131108462,0.45,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.8125,0.6513843405775528,0.8692888359157728,0.46,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.814125,0.6552139843279083,0.8637266587206992,0.47,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.815875,0.6595354523227384,0.8573698847834724,0.48,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.8185,0.6652187403040646,0.8518077075883989,0.49,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.8195,0.6684458398744113,0.8458482320222487,0.5,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.822125,0.6744260204081632,0.8402860548271752,0.51,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.82425,0.6793671294801421,0.8359157727453318,0.52,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.827625,0.686435124508519,0.8323400874056416,0.53,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.83025,0.6931022992335888,0.8263806118394914,0.54,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.831375,0.6975642760487145,0.8192292411601112,0.55,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.832375,0.7024793388429752,0.8104886769964244,0.56,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.834,0.7077944774554351,0.8045292014302742,0.57,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.835875,0.7139303482587065,0.7981724274930473,0.58,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.8365,0.7183098591549296,0.7902264600715138,0.59,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.837125,0.722181551976574,0.7838696861342869,0.6,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.839125,0.7282850779510023,0.7794994040524433,0.61,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.84075,0.7339104252916824,0.7747318235995232,0.62,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.841375,0.7392638036809815,0.7659912594358363,0.63,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.84175,0.743859649122807,0.7580452920143027,0.64,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.842375,0.7492063492063492,0.7500993245927692,0.65,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.843125,0.7560876623376623,0.7401668653158522,0.66,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.84425,0.7640216036560034,0.7306317044100119,0.67,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.84425,0.7700807479813004,0.7199046483909416,0.68,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.84375,0.7748373101952277,0.709574890742948,0.69,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.84225,0.7782705099778271,0.6972586412395709,0.7,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.841,0.7835990888382688,0.6833531982518871,0.71,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.839,0.7886331611085017,0.6670639650377433,0.72,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.837625,0.793918918918919,0.6535558204211362,0.73,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.837125,0.799901185770751,0.6432260627731426,0.74,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.834875,0.8066666666666666,0.6249503377036154,0.75,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.833625,0.8150903294367694,0.609455701231625,0.76,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.83225,0.8215654077723044,0.5963448549860946,0.77,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.828,0.8232294617563739,0.577274533174414,0.78,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.826875,0.8286875725900116,0.5669447755264203,0.79,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.825625,0.8351254480286738,0.5554231227651967,0.8,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.823375,0.8420074349442379,0.5399284862932062,0.81,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.78175,0.6013673415724428,0.9086213746523639,0.2,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.7865,0.6082419052716083,0.9030591974572905,0.21,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.789625,0.6128857606930157,0.8994835121176004,0.22,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.792875,0.617937465715853,0.8951132300357568,0.23,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.797875,0.6254880089235918,0.8911402463249901,0.24,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.80125,0.6308952273369105,0.8875645609853,0.25,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.805375,0.6378518093049971,0.8823996821613032,0.26,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.809875,0.6454439252336449,0.8780294000794596,0.27,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.811875,0.6497927767910006,0.8720699245133094,0.28,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8145,0.6553383458646617,0.8657131505760827,0.29,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.816375,0.6601466992665037,0.8581644815256257,0.3,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.81925,0.6663560111835974,0.8522050059594756,0.31,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.819625,0.6688679245283019,0.8450536352800954,0.32,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.823375,0.676923076923077,0.8390941597139452,0.33,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.825875,0.6830618892508143,0.833134684147795,0.34,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.828,0.688719814753556,0.8271752085816448,0.35,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.831,0.6965912926088423,0.8200238379022646,0.36,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.833125,0.7021203830369357,0.8156535558204211,0.37,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.833625,0.7066202090592334,0.8057210965435042,0.38,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8365,0.7142857142857143,0.8005562177195074,0.39,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.83825,0.7209974701843151,0.7926102502979738,0.4,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.839,0.7255045871559633,0.7854588796185935,0.41,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.839875,0.7293986636971047,0.7806912991656734,0.42,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.84025,0.7331576966503576,0.7739372268573699,0.43,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.841625,0.738914373088685,0.7679777512912197,0.44,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.842,0.7436795021392454,0.7596344854986095,0.45,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.84225,0.747534516765286,0.752880413190306,0.46,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.842625,0.7522052927024859,0.745331744139849,0.47,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8435,0.7586912065439673,0.7369884783472388,0.48,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.845125,0.7664720600500416,0.7302344060389352,0.49,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.845375,0.772572402044293,0.7206992451330949,0.5,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.84475,0.7765726681127982,0.7111640842272546,0.51,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
